,split,metric,cor,p
0,Post-Trim,QG (BERTScore),-0.9460972755759591,1.2557532087325175e-26
1,Pre-Trim,QG (BERTScore),-0.6155766036886992,5.681819381590699e-07
2,Post-Trim,QG (BLEU4),-0.9509463710477152,1.2033090107841544e-27
3,Pre-Trim,QG (BLEU4),-0.5099480329372567,6.981546629679907e-05
4,Post-Trim,QA (Answer F1),-0.8766632855172469,1.7834445017840547e-18
5,Pre-Trim,QA (Answer F1),-0.41910236706199033,0.0014487275460482309
6,Post-Trim,Sentiment (F1),-0.7370590113763646,8.75837074182261e-08
7,Pre-Trim,Sentiment (F1),0.017465970881628767,0.9159520287746388
