Bleu_4,METEOR,ROUGE_L,BERTScore,MoverScore,language,size,type
10.57,27.45,25.6,82.95,82.43,ko,73357.0,trimmed
11.22,27.98,26.36,83.69,82.62,ko,73357.0,ft_trimmed
11.12,27.98,26.5,83.62,82.8,ko,15000.0,ft_trimmed
10.57,27.4,25.5,82.9,82.35,ko,15000.0,trimmed
11.1,28.56,26.87,83.43,82.81,ko,45000.0,ft_trimmed
10.6,27.43,25.64,82.95,82.45,ko,45000.0,trimmed
10.96,28.64,26.84,83.35,82.91,ko,30000.0,ft_trimmed
10.59,27.43,25.63,82.95,82.42,ko,30000.0,trimmed
10.85,27.69,25.76,83.21,82.58,ko,60000.0,ft_trimmed
10.6,27.47,25.64,82.97,82.45,ko,60000.0,trimmed
